Excluded	Comments	participant_id	Session	Link to the paper	Dataset	Rodent.strain	Sex	Weight	Age(days)	MRI	Coil	fMRI.sequence	MRI T.E.(ms)	MRI T.R.(s)	Anethesia	Ventilation(v/f)	(dex)med.bolus	(dex)med.infusion	(dex)med.route	Isoflurane	Abituation(short/long)	head-plate	FD avarage	FD maximum	tSNR
	data is the same BIDS_raw	sub-C09S001		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74421	Sex-differences	C57BL/6J	M	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.00455423189	0.00800266219	
	data is the same BIDS_raw	sub-C09S002		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74422	Sex-differences	C57BL/6J	M	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.004348607829	0.007144027213	
	data is the same BIDS_raw	sub-C09S003		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74423	Sex-differences	C57BL/6J	M	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.003781597913	0.006066778987	
	data is the same BIDS_raw	sub-C09S004		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74424	Sex-differences	C57BL/6J	M	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.004555624655	0.007817628917	
	data is the same BIDS_raw	sub-C09S005		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74425	Sex-differences	C57BL/6J	M	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.00486862042	0.009373934774	
	data is the same BIDS_raw	sub-C02S006		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74426	Sex-differences	C57BL/6J	F	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.01065723564	0.01851137805	
	data is the same BIDS_raw	sub-C02S007		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74427	Sex-differences	C57BL/6J	F	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.004123689061	0.006650905159	
	data is the same BIDS_raw	sub-C02S008		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74428	Sex-differences	C57BL/6J	F	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.004885911072	0.007391612337	
	data is the same BIDS_raw	sub-C02S009		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74429	Sex-differences	C57BL/6J	F	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.004465477622	0.008024837567	
	data is the same BIDS_raw	sub-C02S010		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74430	Sex-differences	C57BL/6J	F	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.00624177302	0.01218392329	
	data is the same BIDS_raw	sub-C08S011		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74431	Sex-differences	C57BL/6J	M	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.004862162139	0.009100203261	
	data is the same BIDS_raw	sub-C08S012		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74432	Sex-differences	C57BL/6J	M	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.005660573741	0.01029606447	
	data is the same BIDS_raw	sub-C08S013		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74433	Sex-differences	C57BL/6J	M	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.005183015363	0.009574065568	
	data is the same BIDS_raw	sub-C08S014		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74434	Sex-differences	C57BL/6J	M	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.004604188915	0.007682471124	
	data is the same BIDS_raw	sub-C01S015		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74435	Sex-differences	C57BL/6J	F	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.003812673848	0.006201216364	
	data is the same BIDS_raw	sub-C01S016		https://mcgill.scholaris.ca/items/e57d1db7-064e-4528-add7-6ef37ff74436	Sex-differences	C57BL/6J	F	N/A	115	7	RT	GE-EPI	N/A	1	Dexiso	f	0.05	0.025	i.p.	0,2% isoflurane	N/A	N/A	0.004827251763	0.00856944699	
