Excluded,Comments,participant_id,Session,Dataset,Rodent.strain,Sex,Weight,Age(days),MRI,Coil,fMRI.sequence,MRI T.E.(ms),MRI T.R.(s),Anethesia,Sedation(low/hight),Abituation(short/long),head-plate,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C06S033,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C06S034,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C06S035,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C06S036,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C07S037,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C07S038,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C07S039,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C07S040,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C11S041,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C11S042,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C11S043,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C11S044,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C11S045,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C10S046,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C10S047,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C10S048,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C10S049,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C10S050,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C13S051,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C13S052,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C13S053,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C13S054,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C13S055,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C12S056,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C12S057,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C12S058,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C12S059,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C12S060,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
