Excluded	Comments	participant_id	Session	Link to the paper	Dataset	Rodent.strain	Sex	Weight	Age(days)	MRI	Coil	fMRI.sequence	MRI T.E.(ms)	MRI T.R.(s)	Anethesia	Ventilation(v/f)	(dex)med.bolus	(dex)med.infusion	(dex)med.route	Isoflurane	Abituation(short/long)	head-plate	FD avarage	FD maximum	tSNR
	fsloriented	sub-COMR194c-PND30		https://doi.org/10.1093/braincomms/fcaf422	Longitudinal_in_vivo_MRI	C57BL/6J	M	18,61	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006781644945	0.01045986286	
	fsloriented	sub-COMR194c-PND90		https://doi.org/10.1093/braincomms/fcaf423	Longitudinal_in_vivo_MRI	C57BL/6J	M	29,32	86	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.005912076804	0.008258959638	
	fsloriented	sub-COMR194f-PND30		https://doi.org/10.1093/braincomms/fcaf424	Longitudinal_in_vivo_MRI	C57BL/6J	F	16,99	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006689003051	0.01124431599	
	fsloriented	sub-COMR194f-PND90		https://doi.org/10.1093/braincomms/fcaf425	Longitudinal_in_vivo_MRI	C57BL/6J	F	24,67	86	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.005662397096	0.008491416815	
	fsloriented	sub-COMR202d-PND30		https://doi.org/10.1093/braincomms/fcaf426	Longitudinal_in_vivo_MRI	C57BL/6J	F	16,85	30	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006610692586	0.01136247689	
	fsloriented	sub-COMR202d-PND90		https://doi.org/10.1093/braincomms/fcaf427	Longitudinal_in_vivo_MRI	C57BL/6J	F	23,1	89	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.005027803051	0.007219245443	
	fsloriented	sub-COMR221c-PND30		https://doi.org/10.1093/braincomms/fcaf428	Longitudinal_in_vivo_MRI	C57BL/6J	M	19,62	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006957535238	0.01234956292	
	fsloriented	sub-COMR221c-PND90		https://doi.org/10.1093/braincomms/fcaf429	Longitudinal_in_vivo_MRI	C57BL/6J	M	27,33	83	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.00539714751	0.007304642596	
	fsloriented	sub-COMR221f-PND30		https://doi.org/10.1093/braincomms/fcaf430	Longitudinal_in_vivo_MRI	C57BL/6J	F	15,77	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006533582185	0.01103733963	
	fsloriented	sub-COMR221f-PND90		https://doi.org/10.1093/braincomms/fcaf431	Longitudinal_in_vivo_MRI	C57BL/6J	F	21,08	87	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.007405271613	0.01148441683	
	fsloriented	sub-COMR232a-PND30		https://doi.org/10.1093/braincomms/fcaf432	Longitudinal_in_vivo_MRI	C57BL/6J	M	17,78	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006514585254	0.01148424684	
	fsloriented	sub-COMR232a-PND90		https://doi.org/10.1093/braincomms/fcaf433	Longitudinal_in_vivo_MRI	C57BL/6J	M	30,74	89	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.00730801025	0.01210899581	
	fsloriented	sub-COMR232b-PND30		https://doi.org/10.1093/braincomms/fcaf434	Longitudinal_in_vivo_MRI	C57BL/6J	F	16,67	30	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.00625340415	0.01094740197	
	fsloriented	sub-COMR232b-PND90		https://doi.org/10.1093/braincomms/fcaf435	Longitudinal_in_vivo_MRI	C57BL/6J	F	25,45	88	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.005586623699	0.008105802556	
	fsloriented	sub-COMR232f-PND30		https://doi.org/10.1093/braincomms/fcaf436	Longitudinal_in_vivo_MRI	C57BL/6J	F	15,37	30	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006609371853	0.01192559386	
	fsloriented	sub-COMR232f-PND90		https://doi.org/10.1093/braincomms/fcaf437	Longitudinal_in_vivo_MRI	C57BL/6J	F	25,03	88	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.01588135941	0.02450982504	
	fsloriented	sub-COMR233a-PND30		https://doi.org/10.1093/braincomms/fcaf438	Longitudinal_in_vivo_MRI	C57BL/6J	F	14,27	29	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006790735728	0.01131208539	
	fsloriented	sub-COMR233a-PND90		https://doi.org/10.1093/braincomms/fcaf439	Longitudinal_in_vivo_MRI	C57BL/6J	F	24,28	86	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.00495559382	0.007445689855	
	fsloriented	sub-COMR233f-PND30		https://doi.org/10.1093/braincomms/fcaf440	Longitudinal_in_vivo_MRI	C57BL/6J	M	17,68	29	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006066126532	0.00915076444	
	fsloriented	sub-COMR233f-PND90		https://doi.org/10.1093/braincomms/fcaf441	Longitudinal_in_vivo_MRI	C57BL/6J	M	31,97	86	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006184094202	0.009131706992	
	fsloriented	sub-COMR242d-PND30		https://doi.org/10.1093/braincomms/fcaf442	Longitudinal_in_vivo_MRI	C57BL/6J	M	13,1	27	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.007208143494	0.01295326493	
	fsloriented	sub-COMR242d-PND90		https://doi.org/10.1093/braincomms/fcaf443	Longitudinal_in_vivo_MRI	C57BL/6J	M	27,71	89	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.005411119114	0.00787074051	
	fsloriented	sub-COMR242i-PND30		https://doi.org/10.1093/braincomms/fcaf444	Longitudinal_in_vivo_MRI	C57BL/6J	F	10,45	27	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.01165833024	0.02276302441	
y	fsloriented	sub-COMR242i-PND90		https://doi.org/10.1093/braincomms/fcaf445	Longitudinal_in_vivo_MRI	C57BL/6J	F	21,49	84	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006164358552	0.00908395751	
	fsloriented	sub-COMR291e-PND30		https://doi.org/10.1093/braincomms/fcaf446	Longitudinal_in_vivo_MRI	C57BL/6J	F	14,22	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.007028199342	0.01191076189	
	fsloriented	sub-COMR291e-PND90		https://doi.org/10.1093/braincomms/fcaf447	Longitudinal_in_vivo_MRI	C57BL/6J	F	21,39	88	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.009031700241	0.01441111041	
	fsloriented	sub-COMR291f-PND30		https://doi.org/10.1093/braincomms/fcaf448	Longitudinal_in_vivo_MRI	C57BL/6J	F	16,44	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006650687115	0.01077592585	
	fsloriented	sub-COMR291f-PND90		https://doi.org/10.1093/braincomms/fcaf449	Longitudinal_in_vivo_MRI	C57BL/6J	F	24,07	88	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.005329959736	0.008332619761	
	fsloriented	sub-COMR291h-PND30		https://doi.org/10.1093/braincomms/fcaf450	Longitudinal_in_vivo_MRI	C57BL/6J	F	14,29	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.006466664459	0.01086708417	
	fsloriented	sub-COMR291h-PND90		https://doi.org/10.1093/braincomms/fcaf451	Longitudinal_in_vivo_MRI	C57BL/6J	F	20,85	88	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.00531176287	0.007826652955	
	fsloriented	sub-COMR301d-PND30		https://doi.org/10.1093/braincomms/fcaf452	Longitudinal_in_vivo_MRI	C57BL/6J	F	14,56	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.00699299565	0.01230016291	
	fsloriented	sub-COMR301d-PND90		https://doi.org/10.1093/braincomms/fcaf453	Longitudinal_in_vivo_MRI	C57BL/6J	F	21,76	89	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.005443385684	0.008259885892	
	fsloriented	sub-COMR301f-PND30		https://doi.org/10.1093/braincomms/fcaf454	Longitudinal_in_vivo_MRI	C57BL/6J	M	19,52	31	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.007266408663	0.0136034071	
	fsloriented	sub-COMR301f-PND90		https://doi.org/10.1093/braincomms/fcaf455	Longitudinal_in_vivo_MRI	C57BL/6J	M	30,82	90	9.4	RT	GE-EPI	15	1	Mediso	f	0.05	0.1	s.c.	0,4-0.65% isoflurane	N/A	N/A	0.005197976636	0.007541750601	
