Excluded,Comments,participant_id,Session,Dataset,Rodent.strain,Sex,Weight,Age(days),MRI,Coil,fMRI.sequence,MRI T.E.(ms),MRI T.R.(s),Anethesia,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR331e-PND30,,Longitudinal_in_vivo_MRI,,F,"13,36",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR331e-PND90,,Longitudinal_in_vivo_MRI,,F,"23,62",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR332d-PND30,,Longitudinal_in_vivo_MRI,,M,"15,24",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR332d-PND90,,Longitudinal_in_vivo_MRI,,M,"26,43",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR332f-PND30,,Longitudinal_in_vivo_MRI,,F,"13,16",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR332f-PND90,,Longitudinal_in_vivo_MRI,,F,"19,28",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR341a-PND30,,Longitudinal_in_vivo_MRI,,F,"18,21",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,sub-COMR341a-PND90,,Longitudinal_in_vivo_MRI,,F,"23,84",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR351b-PND30,,Longitudinal_in_vivo_MRI,,M,"14,45",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR351b-PND90,,Longitudinal_in_vivo_MRI,,M,"30,37",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR351i-PND30,,Longitudinal_in_vivo_MRI,,F,"14,01",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR351i-PND90,,Longitudinal_in_vivo_MRI,,F,"21,88",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,sub-COMR381a-PND30,,Longitudinal_in_vivo_MRI,,M,"18,94",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR381a-PND90,,Longitudinal_in_vivo_MRI,,M,"30,31",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR381e-PND30,,Longitudinal_in_vivo_MRI,,M,"16,16",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR381e-PND90,,Longitudinal_in_vivo_MRI,,M,"28,01",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR381g-PND30,,Longitudinal_in_vivo_MRI,,M,"16,23",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR381g-PND90,,Longitudinal_in_vivo_MRI,,M,"27,16",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,sub-COMR381h-PND30,,Longitudinal_in_vivo_MRI,,F,"12,97",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,sub-COMR381h-PND90,,Longitudinal_in_vivo_MRI,,F,"21,69",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR391b-PND30,,Longitudinal_in_vivo_MRI,,M,"21,61",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR391b-PND90,,Longitudinal_in_vivo_MRI,,M,"33,64",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR421b-PND30,,Longitudinal_in_vivo_MRI,,M,"17,81",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR421b-PND90,,Longitudinal_in_vivo_MRI,,M,n/a,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR421f-PND30,,Longitudinal_in_vivo_MRI,,F,"16,42",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR421f-PND90,,Longitudinal_in_vivo_MRI,,F,n/a,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR431c-PND30,,Longitudinal_in_vivo_MRI,,F,"14,17",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR431c-PND90,,Longitudinal_in_vivo_MRI,,F,"26,4",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
