subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-02_task-rest,0.235296 ,0.191507 ,0.168634 ,0.183548 ,0.159932 ,0.165966 ,0.216338 ,0.224744 ,0.190177 ,0.169101 ,0.257484 ,0.315424 ,0.155593 ,0.099358 ,0.208051 ,0.140669 ,0.209915 ,0.117607
sub-07_task-rest,0.160263 ,0.181053 ,0.195754 ,0.160642 ,0.160583 ,0.212631 ,0.408145 ,0.238780 ,0.204812 ,0.149063 ,0.309318 ,0.333788 ,0.162195 ,0.120350 ,0.166618 ,0.150605 ,0.185216 ,0.142821
sub-08_task-rest,0.176152 ,0.199688 ,0.194614 ,0.153911 ,0.144837 ,0.169980 ,0.234278 ,0.205774 ,0.193523 ,0.139005 ,0.215876 ,0.255580 ,0.191189 ,0.123681 ,0.180314 ,0.130481 ,0.238978 ,0.123734
sub-09_task-rest,0.286699 ,0.299346 ,0.242800 ,0.248114 ,0.243029 ,0.234611 ,0.259075 ,0.232239 ,0.315523 ,0.198441 ,0.369274 ,0.315153 ,0.248525 ,0.199635 ,0.331923 ,0.241290 ,0.349831 ,0.194032
sub-10_task-rest,0.197521 ,0.225343 ,0.209548 ,0.219376 ,0.191486 ,0.218625 ,0.238926 ,0.231826 ,0.219883 ,0.170443 ,0.276730 ,0.296148 ,0.205293 ,0.143156 ,0.204566 ,0.211434 ,0.231124 ,0.149175
