subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-419077_ses-1,0.065344 ,0.049707 ,0.054300 ,0.027218 ,0.038498 ,0.035098 ,0.039249 ,0.036987 ,0.051234 ,0.032395 ,0.071222 ,0.037874 ,0.055412 ,0.041475 ,0.062170 ,0.053567 ,0.122741 ,0.028161
sub-419078_ses-1,0.058753 ,0.046474 ,0.041634 ,0.034137 ,0.039710 ,0.032328 ,0.049981 ,0.044097 ,0.051853 ,0.075029 ,0.068368 ,0.042901 ,0.042953 ,0.033104 ,0.054912 ,0.045669 ,0.108599 ,0.032134
sub-419087_ses-1,0.067693 ,0.080261 ,0.048962 ,0.045254 ,0.052257 ,0.052677 ,0.081088 ,0.042976 ,0.082212 ,0.042047 ,0.085678 ,0.076905 ,0.056951 ,0.045407 ,0.094697 ,0.101813 ,0.127946 ,0.033698
sub-419088_ses-1,0.078976 ,0.082662 ,0.066916 ,0.048530 ,0.037531 ,0.043962 ,0.087414 ,0.040485 ,0.088377 ,0.033637 ,0.055878 ,0.064757 ,0.066665 ,0.054466 ,0.116050 ,0.082062 ,0.056199 ,0.036618
sub-419089_ses-1,0.058624 ,0.042270 ,0.043741 ,0.042445 ,0.037982 ,0.039697 ,0.045651 ,0.046255 ,0.052939 ,0.034908 ,0.064708 ,0.037495 ,0.053502 ,0.037855 ,0.052204 ,0.044921 ,0.068666 ,0.034912
sub-419090_ses-1,0.062075 ,0.048771 ,0.055295 ,0.035330 ,0.041483 ,0.034876 ,0.055033 ,0.055208 ,0.045484 ,0.035106 ,0.081125 ,0.042152 ,0.060949 ,0.039825 ,0.052881 ,0.056669 ,0.094171 ,0.026701
sub-420112_ses-1,0.070137 ,0.102825 ,0.075690 ,0.049828 ,0.052544 ,0.043232 ,0.087726 ,0.029178 ,0.115690 ,0.037034 ,0.090985 ,0.057307 ,0.054971 ,0.041936 ,0.087915 ,0.040741 ,0.091599 ,0.049217
sub-420113_ses-1,0.077537 ,0.055661 ,0.056945 ,0.052743 ,0.034191 ,0.035467 ,0.061091 ,0.048171 ,0.069979 ,0.063521 ,0.080647 ,0.046379 ,0.088235 ,0.038018 ,0.068572 ,0.055176 ,0.061624 ,0.041929
sub-420114_ses-1,0.144214 ,0.107964 ,0.101041 ,0.067679 ,0.049795 ,0.047703 ,0.064001 ,0.045062 ,0.125758 ,0.120833 ,0.057208 ,0.061664 ,0.058645 ,0.057245 ,0.097232 ,0.094956 ,0.058889 ,0.066621
sub-420115_ses-1,0.117500 ,0.057756 ,0.075349 ,0.046240 ,0.038249 ,0.045891 ,0.063380 ,0.040006 ,0.067961 ,0.049372 ,0.055995 ,0.055886 ,0.070310 ,0.058946 ,0.102821 ,0.074063 ,0.067666 ,0.047805
