subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-419087_ses-1,0.067693,0.080261,0.048962,0.045254,0.052257,0.052677,0.081088,0.042976,0.082212,0.042047,0.085678,0.076905,0.056951,0.045407,0.094697,0.101813,0.127946,0.033698
sub-420112_ses-1,0.070137,0.102825,0.075690,0.049828,0.052544,0.043232,0.087726,0.029178,0.115690,0.037034,0.090985,0.057307,0.054971,0.041936,0.087915,0.040741,0.091599,0.049217
sub-420115_ses-1,0.117500,0.057756,0.075349,0.046240,0.038249,0.045891,0.063380,0.040006,0.067961,0.049372,0.055995,0.055886,0.070310,0.058946,0.102821,0.074063,0.067666,0.047805
sub-420122_ses-1,0.046824,0.090271,0.055485,0.046492,0.049559,0.034848,0.041815,0.034640,0.065294,0.052127,0.055876,0.055047,0.044894,0.043236,0.096281,0.046468,0.047387,0.032283
sub-420124_ses-1,0.107866,0.077338,0.084722,0.065755,0.049514,0.047213,0.065988,0.028792,0.099333,0.056902,0.059761,0.047805,0.077988,0.048577,0.095534,0.048934,0.063515,0.060719
sub-421521_ses-1,0.096730,0.092927,0.053670,0.044155,0.037596,0.039370,0.063129,0.051622,0.078213,0.050505,0.064262,0.059016,0.070155,0.048276,0.072222,0.047345,0.037272,0.044813
sub-421524_ses-1,0.076923,0.068727,0.048034,0.051688,0.042914,0.034740,0.066469,0.042302,0.073844,0.034412,0.049897,0.047411,0.064076,0.042148,0.099545,0.048434,0.048905,0.031655
sub-421533_ses-1,0.064028,0.050674,0.053794,0.045329,0.035928,0.042343,0.054841,0.046290,0.057824,0.074184,0.097316,0.049147,0.075754,0.040429,0.064793,0.054516,0.087254,0.035503
sub-422721_ses-1,0.068176,0.061232,0.057247,0.049812,0.047449,0.043817,0.058763,0.048609,0.058105,0.074423,0.076268,0.080611,0.068161,0.040523,0.087971,0.062659,0.079871,0.044813
