subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-001_ses-1,0.047618 ,0.059571 ,0.083855 ,0.045091 ,0.029153 ,0.028136 ,0.042826 ,0.031863 ,0.045893 ,0.032517 ,0.039125 ,0.031675 ,0.034518 ,0.040511 ,0.054186 ,0.037611 ,0.042539 ,0.022722
sub-002_ses-1,0.044384 ,0.055995 ,0.058345 ,0.042105 ,0.031168 ,0.033812 ,0.041846 ,0.026348 ,0.052992 ,0.042445 ,0.043735 ,0.027813 ,0.043262 ,0.031200 ,0.045104 ,0.045453 ,0.061984 ,0.021667
sub-003_ses-1,0.042119 ,0.042389 ,0.061770 ,0.035710 ,0.029867 ,0.030373 ,0.032043 ,0.037992 ,0.050038 ,0.032109 ,0.038403 ,0.037265 ,0.029547 ,0.030672 ,0.051567 ,0.026666 ,0.053939 ,0.025375
sub-004_ses-1,0.042544 ,0.055025 ,0.072988 ,0.036025 ,0.034772 ,0.039605 ,0.038246 ,0.038346 ,0.045469 ,0.032434 ,0.043216 ,0.036091 ,0.042639 ,0.035512 ,0.055513 ,0.029671 ,0.054318 ,0.026064
sub-005_ses-1,0.044929 ,0.050120 ,0.075697 ,0.034925 ,0.027992 ,0.034356 ,0.036142 ,0.033268 ,0.046687 ,0.038417 ,0.039468 ,0.035609 ,0.031314 ,0.039134 ,0.051589 ,0.029734 ,0.038775 ,0.026310
sub-006_ses-1,0.062092 ,0.048005 ,0.058187 ,0.034316 ,0.034046 ,0.036271 ,0.035685 ,0.035113 ,0.038614 ,0.028703 ,0.043884 ,0.036428 ,0.032989 ,0.039100 ,0.057187 ,0.033150 ,0.050066 ,0.026407
sub-007_ses-1,0.040760 ,0.049885 ,0.061358 ,0.048784 ,0.042314 ,0.050307 ,0.055449 ,0.050504 ,0.049536 ,0.042793 ,0.044017 ,0.040288 ,0.035073 ,0.032813 ,0.054641 ,0.031984 ,0.045290 ,0.027927
sub-008_ses-1,0.042698 ,0.034289 ,0.051237 ,0.042837 ,0.027876 ,0.034140 ,0.036634 ,0.034789 ,0.046807 ,0.035110 ,0.037798 ,0.038427 ,0.053936 ,0.035994 ,0.033196 ,0.040711 ,0.046176 ,0.016792
sub-009_ses-1,0.047336 ,0.077566 ,0.106269 ,0.043307 ,0.045328 ,0.055701 ,0.044933 ,0.027688 ,0.043237 ,0.030335 ,0.048500 ,0.037429 ,0.041217 ,0.038337 ,0.054214 ,0.046894 ,0.060586 ,0.027416
sub-010_ses-1,0.050568 ,0.073501 ,0.091418 ,0.047134 ,0.034725 ,0.045628 ,0.052770 ,0.031856 ,0.048213 ,0.032389 ,0.043934 ,0.037206 ,0.035154 ,0.039521 ,0.059215 ,0.034216 ,0.051242 ,0.027551
sub-011_ses-1,0.038592 ,0.042822 ,0.044540 ,0.033732 ,0.034999 ,0.031239 ,0.029366 ,0.028602 ,0.037911 ,0.030147 ,0.036932 ,0.030554 ,0.031411 ,0.025262 ,0.044573 ,0.034043 ,0.044792 ,0.018279
sub-012_ses-1,0.039184 ,0.062769 ,0.066044 ,0.035807 ,0.029586 ,0.030437 ,0.030803 ,0.031106 ,0.057459 ,0.033563 ,0.040115 ,0.028923 ,0.037556 ,0.028954 ,0.044060 ,0.031445 ,0.039114 ,0.024183
