subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-001_ses-1,0.063505 ,0.062486 ,0.078337 ,0.038199 ,0.033506 ,0.037822 ,0.035480 ,0.042569 ,0.055358 ,0.043093 ,0.040295 ,0.046994 ,0.041134 ,0.042676 ,0.059614 ,0.047151 ,0.032616 ,0.029300
sub-002_ses-1,0.059008 ,0.059461 ,0.063207 ,0.036244 ,0.038426 ,0.030924 ,0.036356 ,0.048056 ,0.061131 ,0.037075 ,0.034011 ,0.040164 ,0.045984 ,0.031456 ,0.046234 ,0.036898 ,0.045652 ,0.032065
sub-003_ses-1,0.062457 ,0.072240 ,0.076048 ,0.036153 ,0.031655 ,0.032534 ,0.046259 ,0.046930 ,0.047254 ,0.038524 ,0.041434 ,0.048048 ,0.035475 ,0.039512 ,0.051580 ,0.040669 ,0.036485 ,0.029822
sub-004_ses-1,0.068750 ,0.061508 ,0.051649 ,0.034478 ,0.031955 ,0.030292 ,0.046892 ,0.030415 ,0.043114 ,0.039478 ,0.034348 ,0.045019 ,0.038728 ,0.030639 ,0.062922 ,0.035174 ,0.035818 ,0.025313
sub-005_ses-1,0.072645 ,0.067120 ,0.086948 ,0.045166 ,0.032753 ,0.034036 ,0.042137 ,0.040591 ,0.058497 ,0.033755 ,0.036532 ,0.044810 ,0.039776 ,0.039865 ,0.055915 ,0.045969 ,0.036991 ,0.030885
sub-006_ses-1,0.065270 ,0.080295 ,0.089655 ,0.054630 ,0.034358 ,0.028048 ,0.044746 ,0.050315 ,0.048291 ,0.042202 ,0.040752 ,0.057365 ,0.040183 ,0.041311 ,0.063402 ,0.041108 ,0.035084 ,0.024107
sub-007_ses-1,0.058291 ,0.073834 ,0.085304 ,0.049740 ,0.041503 ,0.033488 ,0.052538 ,0.043515 ,0.046611 ,0.046097 ,0.036215 ,0.037630 ,0.040142 ,0.032731 ,0.052534 ,0.040973 ,0.036285 ,0.026888
sub-008_ses-1,0.068579 ,0.064371 ,0.059231 ,0.038491 ,0.035772 ,0.034875 ,0.040892 ,0.039157 ,0.039345 ,0.037966 ,0.038343 ,0.043088 ,0.044688 ,0.032966 ,0.058675 ,0.036013 ,0.035446 ,0.030448
sub-009_ses-1,0.058496 ,0.078591 ,0.096417 ,0.045966 ,0.034389 ,0.039615 ,0.040720 ,0.049062 ,0.045280 ,0.032605 ,0.035036 ,0.033268 ,0.040735 ,0.041168 ,0.050346 ,0.035796 ,0.029214 ,0.031078
sub-010_ses-1,0.076559 ,0.077257 ,0.108490 ,0.053632 ,0.043996 ,0.040117 ,0.042803 ,0.048032 ,0.067996 ,0.036375 ,0.044641 ,0.059628 ,0.040255 ,0.043535 ,0.084651 ,0.060638 ,0.055516 ,0.043856
