subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-001_task-rest,0.038586 ,0.038664 ,0.042990 ,0.039362 ,0.036670 ,0.032734 ,0.037398 ,0.032204 ,0.046464 ,0.033317 ,0.072080 ,0.046246 ,0.051000 ,0.026738 ,0.044852 ,0.038019 ,0.048500 ,0.031769
sub-002_task-rest,0.032880 ,0.034476 ,0.026633 ,0.026686 ,0.025511 ,0.023932 ,0.030092 ,0.022512 ,0.036513 ,0.020536 ,0.039485 ,0.041630 ,0.021491 ,0.023956 ,0.024963 ,0.024669 ,0.031044 ,0.016861
sub-003_task-rest,0.063177 ,0.060538 ,0.059543 ,0.030929 ,0.045090 ,0.057492 ,0.055284 ,0.047241 ,0.049273 ,0.035908 ,0.052905 ,0.055220 ,0.049636 ,0.022096 ,0.057662 ,0.037076 ,0.036982 ,0.033001
sub-004_task-rest,0.040170 ,0.062744 ,0.063127 ,0.035672 ,0.050660 ,0.045500 ,0.040386 ,0.031886 ,0.053921 ,0.034525 ,0.038570 ,0.045373 ,0.034474 ,0.021847 ,0.038041 ,0.027712 ,0.037375 ,0.028213
sub-008_task-rest,0.055747 ,0.048215 ,0.049796 ,0.036136 ,0.046187 ,0.042759 ,0.039827 ,0.036506 ,0.055623 ,0.037470 ,0.052788 ,0.043440 ,0.039825 ,0.035211 ,0.048222 ,0.038724 ,0.051145 ,0.034161
sub-015_task-rest,0.035296 ,0.025370 ,0.041537 ,0.031589 ,0.027199 ,0.027741 ,0.040580 ,0.033954 ,0.042326 ,0.019713 ,0.046262 ,0.042555 ,0.023493 ,0.018083 ,0.028057 ,0.033047 ,0.035844 ,0.034477
sub-016_task-rest,0.036124 ,0.072147 ,0.061864 ,0.047197 ,0.045860 ,0.043035 ,0.057538 ,0.038237 ,0.043927 ,0.035851 ,0.053161 ,0.055646 ,0.036854 ,0.026565 ,0.037396 ,0.032853 ,0.033547 ,0.028226
sub-019_task-rest,0.052767 ,0.062257 ,0.057137 ,0.057014 ,0.048519 ,0.054032 ,0.051201 ,0.048237 ,0.054217 ,0.030513 ,0.062228 ,0.062687 ,0.043361 ,0.029076 ,0.047830 ,0.039410 ,0.041846 ,0.025413
sub-020_task-rest,0.223532 ,0.213706 ,0.120296 ,0.202529 ,0.241261 ,0.268071 ,0.499887 ,0.209863 ,0.207180 ,0.161504 ,0.339673 ,0.366181 ,0.147578 ,0.163705 ,0.128034 ,0.297021 ,0.113454 ,0.106626
sub-021_task-rest,0.084030 ,0.127144 ,0.089999 ,0.102230 ,0.145807 ,0.106228 ,0.232953 ,0.100087 ,0.099448 ,0.058412 ,0.114914 ,0.099544 ,0.056078 ,0.056627 ,0.055087 ,0.078650 ,0.059714 ,0.154179
sub-022_task-rest,0.080523 ,0.058988 ,0.056045 ,0.053653 ,0.057248 ,0.042576 ,0.149222 ,0.085239 ,0.068766 ,0.041087 ,0.110276 ,0.124538 ,0.054211 ,0.028776 ,0.054135 ,0.041738 ,0.079333 ,0.041300
sub-023_task-rest,0.083510 ,0.112478 ,0.061855 ,0.071985 ,0.083171 ,0.067039 ,0.074951 ,0.043250 ,0.092391 ,0.046777 ,0.088766 ,0.071684 ,0.056508 ,0.049076 ,0.063297 ,0.049097 ,0.062752 ,0.053118
