subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-001_ses-1,0.056554,0.047264,0.051008,0.035224,0.030763,0.035587,0.036761,0.036719,0.041566,0.032716,0.042713,0.035850,0.028844,0.031860,0.057268,0.040903,0.052799,0.023530
sub-002_ses-1,0.057336,0.071431,0.074436,0.039362,0.033709,0.037318,0.047336,0.058479,0.047531,0.034429,0.053361,0.044384,0.041449,0.039402,0.059508,0.032626,0.059739,0.034940
sub-003_ses-1,0.054880,0.056348,0.071101,0.037134,0.036201,0.033533,0.044032,0.046091,0.041345,0.037086,0.049545,0.042777,0.040077,0.032843,0.049719,0.037274,0.051816,0.025925
sub-004_ses-1,0.060129,0.064446,0.061481,0.038038,0.040005,0.037847,0.041351,0.054634,0.050954,0.041967,0.040979,0.046085,0.043493,0.036707,0.059997,0.038121,0.056644,0.024821
sub-006_ses-1,0.058522,0.071911,0.062841,0.036490,0.036395,0.033546,0.053303,0.046185,0.037382,0.040079,0.046006,0.044053,0.047018,0.030874,0.055585,0.031602,0.061030,0.034084
sub-007_ses-1,0.057967,0.067360,0.074841,0.049268,0.042946,0.033580,0.056344,0.046305,0.051001,0.041282,0.043836,0.036669,0.045764,0.027134,0.051876,0.042724,0.049847,0.026570
sub-008_ses-1,0.052536,0.039352,0.036931,0.031189,0.035132,0.035895,0.042315,0.032332,0.039959,0.030478,0.032008,0.036415,0.043135,0.035216,0.048723,0.036999,0.069027,0.024090
sub-009_ses-1,0.064302,0.051407,0.048085,0.032337,0.036936,0.031949,0.045256,0.033896,0.035849,0.029923,0.042403,0.043308,0.042267,0.035103,0.051257,0.030478,0.051152,0.028061
sub-010_ses-1,0.050226,0.063834,0.064183,0.044245,0.036804,0.036894,0.046405,0.036060,0.041670,0.033531,0.065012,0.052672,0.047722,0.044140,0.057535,0.035891,0.056918,0.030523
sub-011_ses-1,0.054614,0.057972,0.045768,0.038204,0.029258,0.030747,0.042260,0.038280,0.037202,0.027344,0.038417,0.036290,0.037594,0.027497,0.057191,0.034456,0.046067,0.026295
sub-012_ses-1,0.058370,0.053226,0.061806,0.033312,0.032126,0.033058,0.048080,0.055469,0.036195,0.028917,0.035171,0.038431,0.040318,0.028504,0.055577,0.043124,0.056067,0.024559
sub-013_ses-1,0.054852,0.064087,0.081387,0.039228,0.043076,0.028949,0.050594,0.042952,0.046130,0.036794,0.043684,0.038188,0.046503,0.032630,0.047597,0.037500,0.068779,0.026189
sub-014_ses-1,0.067641,0.040189,0.042529,0.029374,0.034407,0.025457,0.037686,0.043749,0.035643,0.028140,0.039291,0.043573,0.041183,0.034603,0.042641,0.038947,0.054925,0.027531
sub-015_ses-1,0.077849,0.063135,0.067237,0.047250,0.033392,0.038685,0.044474,0.033067,0.049787,0.029513,0.052392,0.031189,0.047893,0.036007,0.057260,0.035011,0.050034,0.032207
sub-016_ses-1,0.050091,0.060475,0.046161,0.040087,0.034843,0.034078,0.038396,0.036707,0.052600,0.040804,0.046370,0.039860,0.035266,0.028877,0.045923,0.032257,0.051945,0.030547
sub-017_ses-1,0.047452,0.045002,0.061659,0.036018,0.034005,0.038336,0.053968,0.042972,0.043762,0.042070,0.038486,0.048723,0.044985,0.029331,0.050053,0.035873,0.050654,0.027550
sub-018_ses-1,0.053117,0.055117,0.060046,0.043222,0.041170,0.038555,0.052892,0.040996,0.051577,0.041933,0.052780,0.053296,0.052014,0.034489,0.041711,0.045262,0.054524,0.021008
sub-019_ses-1,0.051114,0.061229,0.057772,0.029624,0.038252,0.040727,0.051692,0.037637,0.037655,0.035236,0.032349,0.035141,0.031915,0.031231,0.060452,0.038276,0.060779,0.031518
sub-020_ses-1,0.061566,0.066101,0.080635,0.052228,0.049269,0.042571,0.038204,0.030634,0.038678,0.032125,0.037253,0.032768,0.040566,0.035348,0.052728,0.048827,0.049955,0.034653
sub-021_ses-1,0.052156,0.049151,0.044791,0.031258,0.034439,0.030436,0.048167,0.031298,0.051765,0.032340,0.039216,0.040812,0.038543,0.033922,0.046506,0.034091,0.048956,0.025304
sub-022_ses-1,0.076699,0.055647,0.056477,0.038582,0.031022,0.025989,0.051337,0.039833,0.043647,0.040585,0.042755,0.045182,0.045077,0.036394,0.055815,0.039552,0.055463,0.029865
sub-023_ses-1,0.045940,0.049958,0.071791,0.029413,0.040151,0.037596,0.057140,0.046833,0.041832,0.039656,0.051887,0.046679,0.036509,0.032022,0.036236,0.035128,0.047196,0.026125
sub-024_ses-1,0.049299,0.076709,0.063271,0.033589,0.035932,0.038985,0.046121,0.051685,0.047800,0.034076,0.041204,0.047069,0.051075,0.034298,0.049181,0.038093,0.060151,0.028484
sub-025_ses-1,0.041449,0.059593,0.063475,0.031146,0.031745,0.030856,0.049157,0.035131,0.044706,0.034312,0.044585,0.035079,0.045408,0.031452,0.045031,0.035304,0.048404,0.022820
