subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-jgrADc11L_ses-1,0.077791 ,0.088831 ,0.109540 ,0.103044 ,0.055364 ,0.087395 ,0.086685 ,0.084099 ,0.076778 ,0.054319 ,0.055880 ,0.051657 ,0.079653 ,0.051595 ,0.063615 ,0.048057 ,0.058879 ,0.039008
sub-jgrADc11L_ses-2,0.075973 ,0.088930 ,0.107877 ,0.089150 ,0.056247 ,0.073719 ,0.099460 ,0.097427 ,0.073319 ,0.070310 ,0.061353 ,0.058081 ,0.068971 ,0.063236 ,0.064338 ,0.059522 ,0.049423 ,0.035948
sub-jgrADc1NT_ses-1,0.064114 ,0.106523 ,0.148654 ,0.102486 ,0.063188 ,0.083902 ,0.093926 ,0.088090 ,0.070915 ,0.051530 ,0.061231 ,0.060812 ,0.060932 ,0.064224 ,0.062590 ,0.046106 ,0.041247 ,0.034321
sub-jgrADc1NT_ses-2,0.060223 ,0.067329 ,0.074261 ,0.065898 ,0.052213 ,0.074145 ,0.073927 ,0.071696 ,0.063055 ,0.054323 ,0.065543 ,0.058475 ,0.061478 ,0.037059 ,0.054797 ,0.044254 ,0.044177 ,0.042623
sub-jgrADc21L_ses-1,0.082152 ,0.120034 ,0.126505 ,0.111637 ,0.066564 ,0.118598 ,0.118319 ,0.074318 ,0.094873 ,0.073478 ,0.058793 ,0.057883 ,0.054416 ,0.049790 ,0.072305 ,0.049997 ,0.054045 ,0.035185
sub-jgrADc2NT_ses-1,0.072767 ,0.072314 ,0.077668 ,0.063039 ,0.047626 ,0.072680 ,0.113699 ,0.082647 ,0.059297 ,0.056144 ,0.060129 ,0.067955 ,0.053020 ,0.041984 ,0.051394 ,0.052752 ,0.045648 ,0.035085
sub-jgrADc2NT_ses-2,0.054649 ,0.052744 ,0.067184 ,0.056598 ,0.039193 ,0.056629 ,0.083840 ,0.049678 ,0.054873 ,0.042228 ,0.056046 ,0.043782 ,0.048572 ,0.029979 ,0.035496 ,0.036679 ,0.045844 ,0.032480
sub-jgrADc2R1_ses-1,0.088956 ,0.083338 ,0.115616 ,0.091311 ,0.054582 ,0.093955 ,0.109714 ,0.066092 ,0.097809 ,0.059990 ,0.060970 ,0.059034 ,0.069440 ,0.046919 ,0.068346 ,0.043252 ,0.055297 ,0.037850
sub-jgrADc31L_ses-1,0.076117 ,0.119104 ,0.120385 ,0.072166 ,0.061640 ,0.081032 ,0.078961 ,0.071167 ,0.058403 ,0.047799 ,0.051384 ,0.057808 ,0.067158 ,0.062239 ,0.070257 ,0.055246 ,0.042676 ,0.041794
sub-jgrADc31R_ses-1,0.047340 ,0.049870 ,0.052216 ,0.046004 ,0.043395 ,0.040785 ,0.060368 ,0.036420 ,0.051381 ,0.033541 ,0.050688 ,0.058076 ,0.046627 ,0.030468 ,0.041710 ,0.041675 ,0.042454 ,0.042359
sub-jgrADc31R_ses-2,0.049586 ,0.056638 ,0.071562 ,0.058109 ,0.047858 ,0.055559 ,0.087364 ,0.067444 ,0.049610 ,0.029763 ,0.049751 ,0.063292 ,0.051550 ,0.039851 ,0.052658 ,0.044387 ,0.036276 ,0.039851
sub-jgrADc32L_ses-1,0.072132 ,0.073884 ,0.076563 ,0.053362 ,0.039885 ,0.068347 ,0.079954 ,0.071903 ,0.066490 ,0.039724 ,0.051585 ,0.059220 ,0.053873 ,0.050270 ,0.060644 ,0.048905 ,0.045051 ,0.039798
sub-jgrADc32L_ses-2,0.056390 ,0.140118 ,0.155823 ,0.064597 ,0.083799 ,0.095375 ,0.071593 ,0.051921 ,0.048935 ,0.041709 ,0.068943 ,0.062128 ,0.060374 ,0.035413 ,0.047971 ,0.044028 ,0.049721 ,0.034239
sub-jgrADc32R_ses-1,0.078980 ,0.078851 ,0.077495 ,0.085765 ,0.040542 ,0.050591 ,0.075907 ,0.092586 ,0.063780 ,0.053674 ,0.059313 ,0.049956 ,0.067735 ,0.043968 ,0.061424 ,0.055671 ,0.040762 ,0.037392
sub-jgrADc32R_ses-2,0.089132 ,0.113527 ,0.123786 ,0.082544 ,0.076583 ,0.085188 ,0.102764 ,0.094115 ,0.081985 ,0.069109 ,0.049501 ,0.066329 ,0.064800 ,0.056325 ,0.075578 ,0.057256 ,0.039845 ,0.039883
sub-jgrADc61L_ses-1,0.074169 ,0.089940 ,0.112604 ,0.072279 ,0.046128 ,0.058227 ,0.085056 ,0.098317 ,0.072060 ,0.046223 ,0.057119 ,0.064790 ,0.069077 ,0.063996 ,0.072337 ,0.052211 ,0.045009 ,0.038417
sub-jgrADc61L_ses-2,0.061444 ,0.073326 ,0.074573 ,0.075158 ,0.050879 ,0.065200 ,0.093773 ,0.067733 ,0.054363 ,0.053779 ,0.049900 ,0.048905 ,0.056625 ,0.036461 ,0.056046 ,0.044171 ,0.050128 ,0.036864
sub-jgrADc61R_ses-1,0.063565 ,0.085802 ,0.108063 ,0.064598 ,0.062320 ,0.078968 ,0.071405 ,0.051964 ,0.046426 ,0.039858 ,0.054649 ,0.056737 ,0.058374 ,0.043788 ,0.061305 ,0.051272 ,0.053844 ,0.039578
sub-jgrADc61R_ses-2,0.079870 ,0.118120 ,0.093855 ,0.141898 ,0.075815 ,0.116266 ,0.088262 ,0.087489 ,0.078178 ,0.053166 ,0.098003 ,0.067626 ,0.075553 ,0.052166 ,0.073200 ,0.064526 ,0.051733 ,0.054195
sub-jgrADc62L_ses-1,0.082229 ,0.094555 ,0.103785 ,0.088347 ,0.056960 ,0.081769 ,0.096665 ,0.084153 ,0.090640 ,0.052234 ,0.064256 ,0.064628 ,0.092023 ,0.056235 ,0.073022 ,0.061704 ,0.046058 ,0.044997
sub-jgrADc6NT_ses-1,0.067119 ,0.057928 ,0.061901 ,0.054652 ,0.041877 ,0.048511 ,0.060976 ,0.048628 ,0.057577 ,0.036661 ,0.069767 ,0.062209 ,0.058336 ,0.045407 ,0.054058 ,0.037740 ,0.050480 ,0.052092
sub-jgrADc6NT_ses-2,0.056313 ,0.108060 ,0.094236 ,0.065278 ,0.071238 ,0.080106 ,0.078339 ,0.048953 ,0.055486 ,0.040900 ,0.056493 ,0.053133 ,0.059277 ,0.044810 ,0.053425 ,0.038906 ,0.053570 ,0.034802
