subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-06_task-rest,0.947293,0.940434,0.955761,0.98111,0.901594,0.915764,0.865011,0.931795,0.978517,0.787455,1.150282,1.072212,1.084618,0.798019,1.0656,0.833994,0.973024,0.732886
sub-07_task-rest,0.941504,0.985345,1.06289,0.870602,0.804786,0.898046,0.873567,0.949754,1.112705,0.794152,1.229341,1.177889,1.00242,0.818892,1.000778,0.795036,0.973587,0.687389
sub-08_task-rest,1.130531,1.118676,1.026454,1.076796,0.859562,1.050478,0.813938,0.982681,1.195944,0.707329,1.21044,1.054368,0.803673,0.76467,1.171352,0.616468,0.887323,0.826994
sub-09_task-rest,0.95697,1.021591,1.026759,0.80104,0.919666,0.842087,0.79106,0.731524,1.088631,0.674012,1.097705,1.007974,0.919136,0.686883,1.074767,0.774223,0.984272,0.696754
sub-14_task-rest,0.911517,1.185443,1.054661,1.005926,0.86002,1.009156,0.770023,0.879051,1.083425,0.766669,0.972132,1.086606,1.024893,0.691922,0.985297,0.7411,0.968989,0.711273
sub-15_task-rest,0.932961,1.032488,0.933339,0.905569,0.786605,0.819153,0.943586,0.934028,0.936948,0.770072,1.12422,1.132357,0.986458,0.777334,1.015094,0.765936,0.95047,0.715941
sub-16_task-rest,0.966122,1.084031,1.006179,1.013707,0.963619,0.977269,0.833995,0.894026,1.131475,0.805918,1.228462,0.990191,1.0672,0.818867,1.089018,0.857199,1.004826,0.737471
sub-17_task-rest,1.019166,0.702244,0.884637,0.810808,0.883831,0.71952,1.135625,0.864515,1.075814,0.428162,1.131465,0.967954,0.794499,0.633036,0.94211,0.866457,0.82615,0.806257
sub-18_task-rest,1.039653,1.052951,0.971572,0.91163,0.819487,0.90383,0.860924,1.009787,1.031451,0.676954,1.146404,1.086678,1.038389,0.78539,0.945967,0.846154,1.038766,0.697531
sub-19_task-rest,1.219887,0.916143,0.728027,0.864577,0.948844,0.838995,1.207211,0.687224,1.00276,0.630889,1.198689,1.208716,0.902308,0.77315,0.966332,0.815143,0.688563,0.64673
sub-33_task-rest,1.172931,1.065717,1.131888,1.056934,0.987919,1.087871,0.80532,0.905055,1.086111,0.647698,1.20899,1.03659,1.028784,0.770572,1.052263,0.963669,1.11503,0.73758
sub-37_task-rest,0.899551,0.940972,0.768284,0.825088,0.905083,0.807584,0.841403,0.923573,1.063628,0.695436,1.262771,1.052659,0.714645,0.683812,0.83941,0.70262,0.837896,0.923202
sub-49_task-rest,0.936497,1.161351,1.173866,0.96793,0.903626,1.186682,0.854789,0.953027,1.07505,0.811714,1.184915,1.164793,0.99988,0.736811,0.997445,0.875496,1.066068,0.706042
sub-51_task-rest,1.001899,1.235489,1.089503,0.967999,1.021367,1.017846,0.79263,0.758985,1.027513,0.784283,1.218373,1.149747,0.998703,0.684148,1.084562,0.866523,1.103765,0.722801
sub-54_task-rest,0.981807,1.141986,1.03345,0.939943,0.989041,1.114238,1.1065,0.98795,1.121892,0.761246,1.196251,1.130497,1.061603,0.669946,1.041977,0.748971,0.922272,0.730884
sub-59_task-rest,1.02459,1.187286,0.904796,1.017483,0.965628,0.977936,0.920387,0.880817,1.110195,0.72873,1.160735,1.02254,1.056651,0.837729,1.014168,0.811229,1.026405,0.690566
sub-71_task-rest,0.796435,1.068157,0.970518,1.066877,0.879609,0.940033,0.935154,0.976317,0.983343,0.793517,1.237642,1.255636,0.770935,0.672349,0.895115,0.825015,1.016554,0.723536
sub-73_task-rest,0.894988,1.103698,0.931657,0.940591,0.929338,0.988256,0.811281,1.002188,1.012528,0.714238,1.537826,1.001576,1.046152,0.688532,0.939296,0.76581,1.154706,0.692289
sub-81_task-rest,1.016716,1.078117,0.982766,0.922776,0.903168,1.019614,0.924982,0.946717,1.062572,0.786855,1.104345,1.144755,0.979405,0.725016,1.011101,0.812679,1.001911,0.762968
sub-82_task-rest,0.911359,1.069616,1.119897,0.992021,0.924287,1.001244,0.937619,0.891526,1.119167,0.741551,1.255109,1.097312,0.971582,0.702252,0.942998,0.857312,1.057602,0.765605
sub-83_task-rest,0.853645,1.123686,1.089416,0.958893,0.936314,0.911142,0.77332,1.008708,1.130877,0.808,1.147315,1.056318,0.975047,0.735892,1.086604,0.835512,0.978761,0.748746
sub-84_task-rest,1.074697,1.027078,1.030988,0.909175,0.91553,1.035291,0.902555,0.902227,1.142713,0.867948,1.184536,1.053308,1.064065,0.584717,0.867023,0.772947,1.009775,0.842601
